header,predicate,type,value,attribute,subject_id
term_created,dcterms:created
term_modified,dcterms:modified
label,rdfs:label
label,skos:prefLabel
definition,rdfs:comment
definition,skos:definition
usage,skos:scopeNote
notes,dcterms:description
examples,skos:example
type,rdf:type
