<<<<<<< Updated upstream
﻿term_iri,skos_mapping_relation,related_term_iri
http://rs.tdwg.org/ltc/terms/Address,narrowMatch,https://schema.org/PostalAddress
http://rs.tdwg.org/ltc/terms/addressType,broadMatch,https://schema.org/contactType
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/ChronometricAge,closeMatch,http://rs.tdwg.org/chrono/terms/ChronometricAge
http://rs.tdwg.org/ltc/terms/chronometricAgeProtocol,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/chronometricAgeRemarks,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/chronometricAgeUncertaintyInYears,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/hasTemporalCoverage,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/statusType,broadMatch,http://purl.org/dc/terms/type
http://rs.tdwg.org/ltc/terms/contactDetailCategory,broadMatch,http://purl.org/dc/terms/type
http://rs.tdwg.org/ltc/terms/contactDetailValue,narrowMatch,https://schema.org/email
http://rs.tdwg.org/ltc/terms/contactDetailValue,narrowMatch,https://schema.org/faxNumber
http://rs.tdwg.org/ltc/terms/contactDetailValue,narrowMatch,https://schema.org/telephone
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/habitat,closeMatch,http://rs.tdwg.org/dwc/terms/habitat
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/Event,closeMatch,http://rs.tdwg.org/dwc/terms/Event
http://rs.tdwg.org/ltc/terms/eventName,broadMatch,http://purl.org/dc/terms/title
http://rs.tdwg.org/ltc/terms/hasEcologicalContext,broadMatch,http://purl.org/dc/terms/relation
http://rs.tdwg.org/ltc/terms/hasGeographicContext,broadMatch,http://purl.org/dc/terms/relation
