pref_ns_prefix,document_modified,term_localName,term_isDefinedBy,term_created,term_modified,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
dwc,2023-07-14T12:47:55-5:00,locality,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Locality,The specific description of the place.,,"""Less specific geographic information can be provided in other geographic terms (continent, waterBody). This term may contain information modified from the original to correct perceived errors or standardize the description.""","`Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237).`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,municipality,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.","""The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the GeographicContext is located. Do not use this term for a nearby named place that does not contain the actual location.""",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"`Holzminden`, `Araçatuba`, `Ga-Segonyana`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
ltc,2023-07-14T12:47:55-5:00,region,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Region,The name of a spatial region or named place of any size within an individual or multiple administrative areas.,,"""Recommended best practice is to use this field in situations where the administrative location fields (country, stateProvince, county, etc.) provide insufficient description. For geological collections examples include basins, provinces, and fossil deposits.""","Multi-country: `North European Plain`, Multi-state/Province: `Pacific Northwest`, Waterbody: `Southern`, Geological basins and provinces: `Michigan Basin`, `Mazon Creek`, `Bundenbach`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,stateProvince,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,First Order Division,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.","""The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the GeographicContext is located.""",Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names and to leave this field blank if the Location spans multiple entities at this administrative level or is uncertain.,"`Montana`, `Minas Gerais`, `Córdoba`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
dwc,2023-07-14T12:47:55-5:00,waterBody,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Water Body,The name of the water body in which the Location occurs.,The name of the water body in which the GeographicContext is located.,"""This is intended to define the lowest water body or aquatic feature that defines the geographical constraints of aquatic collections below ocean. Suggestions for appropriate vocabularies include: HydroLAKES (https://www.hydrosheds.org/page/hydrolakes), a database aiming to provide the shoreline polygons of all global lakes with a surface area of at least 10 ha, the 'water body' term in the OBO ontology (http://purl.obolibrary.org/obo/ENVO_00000063) and, for marine water bodies, IHO Sea Areas (http://www.vliz.be/en/imis?dasid=5444&doiid=323).""","`Baltic Sea`, `Hudson River`, `Lago Nahuel Huapi`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
ltc,2023-07-14T12:47:55-5:00,waterBodyType,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Waterbody Type,A term that indicates the aquatic order of a waterbody.,,"""Recommendation is to use a controlled vocabulary, such as those fuind at https://www.usgs.gov/mission-areas/water-resources/science/types-water and https://sciencetrends.com/types-bodies-water-complete-list/.""","`Ocean`, `Sea`, `Lake`, `Pond`, `River`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeographicContext
ltc,2023-07-14T12:47:55-5:00,GeologicalContext,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Geological Context,"Geological information, such as stratigraphy, that qualifies a region or place.",,,,http://www.w3.org/2000/01/rdf-schema#Class,
dwc,2023-07-14T12:47:55-5:00,bed,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Bed,The full name of the lithostratigraphic bed from which the cataloged item was collected.,The full name of the lithostratigraphic bed from which the objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Beecher Trilobite Bed`, `McAbee Fossil Beds`, `Ashfall Fossil Beds`, `Nut Beds`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,earliestAgeOrLowestStage,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Earliest Age Or Lowest Stage,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic age or lowest chronostratigraphic stage attributable to the stratigraphic horizon from which objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Atlantic`, `Boreal`, `Frasnian`, `Hirnantian`, `Maastrichtian`, `Bridgerian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,earliestEonOrLowestEonothem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Earliest Eon Or Lowest Eonothem,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic eon or lowest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Phanerozoic`, `Proterozoic`, `Arechean`, `Hadean`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,earliestEpochOrLowestSeries,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Earliest Epoch Or Lowest Series,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic epoch or lowest chronostratigraphic series attributable to the stratigraphic horizon from which objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Holocene`, `Pleistocene`, `Ibexian`, `Late Devonian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,earliestEraOrLowestErathem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Earliest Era Or Lowest Erathem,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic era or lowest chronostratigraphic erathem attributable to the stratigraphic horizon from which the objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Cenozoic`, `Mesozoic`, `Paleozoic`, `Neoproterozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,earliestPeriodOrLowestSystem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Earliest Period Or Lowest System,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the earliest possible geochronologic period or lowest chronostratigraphic system attributable to the stratigraphic horizon from which objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Neogene`, `Quaternary`, `Jurassic`, `Devonian`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,formation,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Formation,The full name of the lithostratigraphic formation from which the cataloged item was collected.,The full name of the lithostratigraphic formation from which objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Notch Peak Formation`, ` House Limestone`, `Fillmore Formation`, `Redwall Limestone`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,group,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Group,The full name of the lithostratigraphic group from which the cataloged item was collected.,The full name of the lithostratigraphic group from which the objects in the collection originated.,Recommended vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Bathurst`, `Wealden`, `Elk Mound`, `Supai`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
ltc,2023-07-14T12:47:55-5:00,hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,latestAgeOrHighestStage,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latest Age Or Highest Stage,The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic age or highest chronostratigraphic stage attributable to the stratigraphic horizon from which objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Atlantic`, `Boreal`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,latestEonOrHighestEonothem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latest Eon Or Highest Eonothem,The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic eon or highest chrono-stratigraphic eonothem or the informal name (Precambrian) attributable to the stratigraphic horizon from which the objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Phanerozoic`, `Proterozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,latestEpochOrHighestSeries,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latest Epoch Or Highest Series,The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic epoch or highest chronostratigraphic series attributable to the stratigraphic horizon from which objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Holocene`, `Pleistocene`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,latestEraOrHighestErathem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latest Era Or Highest Erathem,The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic era or highest chronostratigraphic erathem attributable to the stratigraphic horizon from which objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Cenozoic`, `Mesozoic`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,latestPeriodOrHighestSystem,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latest Period Or Highest System,The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which the cataloged item was collected.,The full name of the latest possible geochronologic period or highest chronostratigraphic system attributable to the stratigraphic horizon from which objects in the collection originated.,"""Recommended vocabularies: https://stratigraphy.org/chart, https://timescalefoundation.org/resources/geowhen/index.html""","`Neogene`, `Tertiary`, `Quaternary`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
dwc,2023-07-14T12:47:55-5:00,member,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Member,The full name of the lithostratigraphic member from which the cataloged item was collected.,The full name of the lithostratigraphic member from which objects in the collection originated.,Recommend vocabulary: https://ngmdb.usgs.gov/Geolex/search,"`Lava Dam Member`, `Hellnmaria Member`, `Francis Creek Shale`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
ltc,2023-07-14T12:47:55-5:00,supergroup,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Supergroup,The full name of the lithostratigraphic supergroup from which the cataloged item was collected.,A supergroup is a formal assemblage of related or superposed groups or of groups and formations. Such units have proved useful in regional and provincial syntheses. Supergroups should be named only where their recognition serves a clear purpose.,Recommended vocabulary. At time of inclusion this term is in progress of being included as part of dwc tdwg/dwc#234,"`Karoe`, `Cape`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/GeologicalContext
ltc,2023-07-14T12:47:55-5:00,Identifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Identifier,"A numeric, textual value, or reference such as an IRI, that can be used to uniquely identify the object to which it is attached.",,"""Use this class to document stable identifiers that describe the collections and associated entities being represented in the collection description. For example, person identifiers, taxon identifiers, institution identifiers, organisational unit identifiers, gazetteer identifiers. Identifiers represented by this class may be globally unique, or unique within a given context.""",,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Identifier
ltc,2023-07-14T12:47:55-5:00,identifierSource,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Identifier Source,The source or creator of the identifier.,,"""This term refers to the organisation, framework, software or database that minted the identifier represented in the identifier property.""","`Index Herbariorum`, `GBIF Registry of Scientific Collections (GRSciColl)`, `CITES`, `IPEN`, `NHM UK 'Join the Dots' framework`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Identifier
ltc,2023-07-14T12:47:55-5:00,identifierType,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Identifier Type,The type and format of the value in the identifier field.,,This property should be used to help people and software understand how the identifier can be used (e.g. whether it's a resolvable URI) and validate the identifier based on format and composition (e.g. a valid UUID).,"`Acronym`, `URI`, `UUID v4`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Identifier
ltc,2023-07-14T12:47:55-5:00,identifierValue,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Identifier,"A textual or numeric identifier, acronym or URI that provides an unambiguous reference for an entity within a given context.",,"""This may be a simple value or resolvable URI, and can reflect any identifier used to identify an entity (such as a collection, taxon, institution or person) included in the Collection Description.""","`http://grscicoll.org/institutional-collection/osteology`, `https://www.gbif.org/grscicoll/collection/64232ca4-fd5a-4a3d-a1d5-ef812107472c`, `https://www.gbif.org/grscicoll/institution/52827361-5e82-43b7-b92a-f6ad98367fa5`, `http://sweetgum.nybg.org/science/ih/herbarium-details/?irn=126969`, `10.5072/example-full`, `NHMUK-Verts`, `BGBM`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/Identifier
ltc,2023-07-14T12:47:55-5:00,LatimerCoreScheme,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Latimer Core Scheme,"A grouping of multiple ObjectGroups for a particular use case, purpose or implementation.",,"""Where the same objects within the same collection might be described by more than one ObjectGroup for different purposes (for examples, a 'Darwin Fossil Mammals' collection description might overlap with a 'Offsite Palaeontology' collection description), this class can be used to distinguish between them and avoid double-counting of metrics in queries against the data.""",,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,basisOfScheme,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Basis Of Scheme,A summary of the basis or purpose for the LatimerCoreScheme.,,"""This property is intended to summarise the reason for grouping a number of ObjectGroups within the LatimerCoreScheme, and the purpose for which the data is intended to be used. This may also be reflected in the terms and metrics defined using the SchemeTerm and SchemeMeasurementOrFact classes respectively. Using this approach, standard and reusable profiles within the wider Latimer Core standard may be constructed for common collection descriptions use cases.""","`Accession`, `Inventory`, `Expedition`, `Digitisation planning`, `Collections assessment`, `Institution`, `Collections registry`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,hasObjectGroup,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Object Group,This property refers to one or more related instances of the ObjectGroup class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,hasSchemeMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Scheme Measurement Or Fact,This property refers to one or more related instances of the SchemeMeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,hasSchemeTerm,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Scheme Term,This property refers to one or more related instances of the SchemeTerm class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,isDistinctObjects,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Is Distinct Objects,A flag to designate whether a physical object may be described by more than one ObjectGroup within the LatimerCoreScheme.,,"""If isDistinctObjects is set to 'true', then no collection object should be covered by more than one object group within the LatimerCoreScheme. This is important for aggregating and reporting on metrics such as object counts, as it prevents any physical object from being counted more than once.""","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,schemeName,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Scheme Name,A short descriptive name given to the LatimerCoreScheme.,,,"`NHM Collections Inventory`, `Index Herbariorum`, `European Darwin Collections`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/LatimerCoreScheme
ltc,2023-07-14T12:47:55-5:00,MeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement or Fact,"A measurement of or fact about a class within the standard, or a relationship between the ObjectGroup and an associated class.",,"""This class can be used to apply measurements, facts or narratives to the ObjectGroup as a whole, or used to qualify the relationship between the ObjectGroup and an associated attribute. For example, an ObjectGroup may contain 100 objects, of which 40 are from Europe and 60 from Africa. In this example, one MeasurementOrFact (count of 100) would be attached to the ObjectGroup, and one to each of the two relationships between the ObjectGroup and GeographicContext (Europe: count of 40, Africa: count of 60).""",,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
dwc,2023-07-14T12:47:55-5:00,measurementAccuracy,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement Accuracy,The description of the potential error associated with the measurementValue.,The description of the potential error associated with the measurementValue applied to the collection.,,"`0.01`, `Normal distribution with variation of 2 m`, `Reported`, `Estimated`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
ltc,2023-07-14T12:47:55-5:00,measurementDerivation,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement Derivation,"An indicator as to whether the measurement, fact, characteristic, or assertion being applied to the collection was derived from reported figures or aggregated/calculated from underlying data.",,"""If there is more detailed information about the method by which a measurement or fact was derived, this should be captured using the measurementMethod property.""","`Reported`, `Calculated`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
ltc,2023-07-14T12:47:55-5:00,measurementFactText,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Fact or Narrative Text,"The value of the qualitative fact, characteristic, or assertion being made about the collection.",,"""This property should also be used for storing textual information about the collection within a particular context, such as narratives or comments about digitisation readiness.""","`UV-light`, `Extra large`, `Level 1`, `Re-curation of this collection would be required prior to digitisation, requiring an estimated two weeks of curator time.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
dwc,2023-07-14T12:47:55-5:00,measurementMethod,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement Method,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.",,,"`DiSSCo MIDS level`, `CD Standard Metric`, `https://doi.org/10.5281/zenodo.3465285`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
dwc,2023-07-14T12:47:55-5:00,measurementRemarks,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement Remarks,Comments or notes accompanying the MeasurementOrFact.,,,"`Does not include on-loan material`, `Footprint includes housing`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
dwc,2023-07-14T12:47:55-5:00,measurementType,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement Type,"The nature of the measurement, fact, characteristic, or assertion.",,Recommended best practice is to use a controlled vocabulary.,"`Imaged Level Percentage`, `Storage Volume`, `Object Count`, `MIDS-0 Object Count`, `Historical narrative`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
dwc,2023-07-14T12:47:55-5:00,measurementUnit,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement Unit,The units associated with the measurementValue.,,"""For some use cases, this property can also be used to reflect the type of value being stored (e.g. a count, or a percentage).""","`mm`, `C`, `km`, `ha`, `count`, `percentage`, `category`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
dwc,2023-07-14T12:47:55-5:00,measurementValue,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Measurement Value,"The value of the measurement, fact, characteristic, or assertion.",The numeric value of the quantitative measurement being made about the collection.,"""In the Collection Description standard, this field is constrained to only accept numeric values in order to better support the aggregation of quantitative metrics. For any non-numeric values, and metrics where the scale is a numeral that cannot be used in any calculations the measurementFactText property should be used instead.""","`45`, `20000`, `1`, `14.5`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/MeasurementOrFact
ltc,2023-07-14T12:47:55-5:00,ObjectClassification,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Object Classification,"An informal classification of the type of objects within the ObjectGroup, using a hierarchical structure.",,"""This class is used to categorise the ObjectGroup according to an informal, self-referential hierarchy. For example, this can be used to create a hierarchy encompassing biological, geological and anthropological collections, where a single formal taxonomy isn't appropriate.""",,http://www.w3.org/2000/01/rdf-schema#Class,
ltc,2023-07-14T12:47:55-5:00,hasIdentifier,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ObjectClassification
ltc,2023-07-14T12:47:55-5:00,hasMeasurementOrFact,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ObjectClassification
ltc,2023-07-14T12:47:55-5:00,hasObjectClassification,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Object Classification,This property refers to one or more related instances of the ObjectClassification class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ObjectClassification
ltc,2023-07-14T12:47:55-5:00,hasReference,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ObjectClassification
ltc,2023-07-14T12:47:55-5:00,isTopParent,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Is Top Parent,A flag to indicate that the current instance of ObjectClassification is at the top of the hierarchy represented by multiple nested instances of the class.,"""If this term is used, it should be set to `true` in the instance of ObjectClassification which represents the highest level of a hierarchy and `false` in the rest. If the direction of the hierarchy is self-evident or otherwise not notable, this term should not be populated. """,,"`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ObjectClassification
ltc,2023-07-14T12:47:55-5:00,objectClassificationLevel,http://rs.tdwg.org/ltc/terms/,2023-08-01,2023-08-01,Object Classification Level,The level of the ObjectClassification in the hierarchy.,,It is up to the user to name the levels to be relevant to the hierarchical classification scheme that they are defining.,"`Domain`, `Discipline`, `Category`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://tdwg.org/ltc/terms/ObjectClassification
